================ Training Loss (Sun Oct 16 23:55:39 2022) ================
(epoch: 5, iters: 4, time: 0.207, data: 0.661) G_GAN: 0.260 D_real: 0.261 D_fake: 0.238 G: 3.789 NCE: 3.310 NCE_Y: 3.747 
================ Training Loss (Sun Oct 16 23:57:29 2022) ================
(epoch: 5, iters: 4, time: 0.158, data: 0.111) G_GAN: 0.276 D_real: 0.276 D_fake: 0.219 G: 4.090 NCE: 3.854 NCE_Y: 3.775 
(epoch: 9, iters: 8, time: 0.168, data: 0.001) G_GAN: 0.392 D_real: 0.244 D_fake: 0.268 G: 3.443 NCE: 3.349 NCE_Y: 2.753 
================ Training Loss (Mon Oct 17 00:00:39 2022) ================
(epoch: 5, iters: 4, time: 0.151, data: 0.128) G_GAN: 0.377 D_real: 0.198 D_fake: 0.416 G: 3.603 NCE: 3.260 NCE_Y: 3.193 
(epoch: 9, iters: 8, time: 0.164, data: 0.002) G_GAN: 0.211 D_real: 0.191 D_fake: 0.409 G: 2.864 NCE: 2.840 NCE_Y: 2.466 
(epoch: 13, iters: 12, time: 0.171, data: 0.002) G_GAN: 0.408 D_real: 0.253 D_fake: 0.128 G: 3.054 NCE: 2.620 NCE_Y: 2.672 
(epoch: 17, iters: 16, time: 0.176, data: 0.002) G_GAN: 0.484 D_real: 0.051 D_fake: 0.227 G: 2.859 NCE: 2.502 NCE_Y: 2.248 
(epoch: 21, iters: 20, time: 0.179, data: 0.002) G_GAN: 0.494 D_real: 0.326 D_fake: 0.302 G: 2.493 NCE: 1.975 NCE_Y: 2.022 
(epoch: 25, iters: 24, time: 0.181, data: 0.001) G_GAN: 0.431 D_real: 0.089 D_fake: 0.228 G: 2.134 NCE: 1.741 NCE_Y: 1.664 
(epoch: 30, iters: 4, time: 0.182, data: 0.157) G_GAN: 0.660 D_real: 0.084 D_fake: 0.171 G: 2.298 NCE: 1.637 NCE_Y: 1.639 
(epoch: 34, iters: 8, time: 0.182, data: 0.001) G_GAN: 0.572 D_real: 0.096 D_fake: 0.395 G: 2.375 NCE: 2.054 NCE_Y: 1.553 
(epoch: 38, iters: 12, time: 0.183, data: 0.001) G_GAN: 0.390 D_real: 0.155 D_fake: 0.193 G: 1.803 NCE: 1.480 NCE_Y: 1.346 
(epoch: 42, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.222 D_real: 0.295 D_fake: 0.279 G: 1.630 NCE: 1.471 NCE_Y: 1.344 
(epoch: 46, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.351 D_real: 0.270 D_fake: 0.198 G: 1.675 NCE: 1.494 NCE_Y: 1.152 
(epoch: 50, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.350 D_real: 0.045 D_fake: 0.465 G: 1.636 NCE: 1.360 NCE_Y: 1.213 
(epoch: 55, iters: 4, time: 0.183, data: 0.164) G_GAN: 0.448 D_real: 0.261 D_fake: 0.150 G: 1.755 NCE: 1.447 NCE_Y: 1.167 
(epoch: 59, iters: 8, time: 0.183, data: 0.003) G_GAN: 0.388 D_real: 0.135 D_fake: 0.175 G: 1.721 NCE: 1.429 NCE_Y: 1.237 
(epoch: 63, iters: 12, time: 0.183, data: 0.002) G_GAN: 0.539 D_real: 0.187 D_fake: 0.344 G: 1.856 NCE: 1.423 NCE_Y: 1.212 
(epoch: 67, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.426 D_real: 0.235 D_fake: 0.116 G: 1.697 NCE: 1.493 NCE_Y: 1.049 
(epoch: 71, iters: 20, time: 0.183, data: 0.003) G_GAN: 0.432 D_real: 0.188 D_fake: 0.225 G: 1.698 NCE: 1.427 NCE_Y: 1.104 
(epoch: 75, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.415 D_real: 0.167 D_fake: 0.328 G: 1.740 NCE: 1.467 NCE_Y: 1.182 
(epoch: 80, iters: 4, time: 0.184, data: 0.154) G_GAN: 0.571 D_real: 0.180 D_fake: 0.292 G: 1.823 NCE: 1.369 NCE_Y: 1.136 
(epoch: 84, iters: 8, time: 0.184, data: 0.001) G_GAN: 0.414 D_real: 0.134 D_fake: 0.251 G: 1.574 NCE: 1.265 NCE_Y: 1.056 
